edge_type_id target_query source_query weight_function model_template weight_sigma target_sections dynamics_params syn_weight delay distance_range
118 location=='L4'&pop_name=='VIP'&ei=='2i1' location=='L4'&pop_name=='PV1'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 "['somatic', 'basal']" InhToInh.json 0.0005279999999999999 0.9 "[0.0, 1e+20]"
119 location=='L4'&pop_name=='VIP'&ei=='2i1' location=='L4'&pop_name=='Sst'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 ['basal'] InhToInh.json 0.0018479999999999998 1.2 "[0.0, 1e+20]"
120 location=='L4'&pop_name=='PV1'&ei=='2i1' location=='L4'&pop_name=='Sst'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 ['basal'] InhToInh.json 0.000792 1.2 "[0.0, 1e+20]"
121 location=='L4'&pop_name=='Scnn1a'&ei=='2e1' location=='L4'&pop_name=='Sst'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 "['basal', 'apical']" InhToExc.json 0.0024 1.2 "[0.0, 1e+20]"
122 location=='L4'&pop_name=='Scnn1a'&ei=='2e1' location=='L4'&pop_name=='VIP'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 "['basal', 'apical']" InhToExc.json 4.7999999999999994e-05 1.2 "[0.0, 1e+20]"
123 location=='L4'&pop_name=='Sst'&ei=='2i1' location=='L4'&pop_name=='VIP'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 ['basal'] InhToInh.json 0.047999999999999994 1.2 "[0.0, 1e+20]"
124 location=='L5'&ei=='2e1' location=='L5'&ei=='2e1' gaussianLL_Inter_Layer exp2syn 5.0 "['basal', 'apical']" ExcToExc.json 0.00035 1.5 "[0.0, 1e+20]"
125 location=='L5'&ei=='2i1'&pop_name=='PV1' location=='L5'&ei=='2e1' gaussianLL_Inter_Layer exp2syn 15.0 "['somatic', 'basal']" ExcToInh.json 0.003 1.1 "[0.0, 1e+20]"
126 location=='L5'&ei=='2i1'&pop_name=='Sst' location=='L5'&ei=='2e1' gaussianLL_Inter_Layer exp2syn 10.0 "['somatic', 'basal']" ExcToInh.json 0.001875 1.4 "[0.0, 1e+20]"
127 location=='L5'&ei=='2i1'&pop_name=='VIP' location=='L5'&ei=='2e1' gaussianLL_Inter_Layer exp2syn 5.0 "['somatic', 'basal']" ExcToInh.json 0.0015 1.4 "[0.0, 1e+20]"
128 location=='L5'&pop_name=='PV1'&ei=='2i1' location=='L5'&pop_name=='PV1'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 "['somatic', 'basal']" InhToInh.json 0.002424 1.5 "[0.0, 1e+20]"
129 location=='L5'&pop_name=='Scnn1a'&ei=='2e1' location=='L5'&pop_name=='PV1'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 "['somatic', 'basal', 'apical']" InhToExc.json 0.0024 0.8 "[0.0, 1e+20]"
130 location=='L5'&pop_name=='VIP'&ei=='2i1' location=='L5'&pop_name=='PV1'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 "['somatic', 'basal']" InhToInh.json 0.0005279999999999999 1.1 "[0.0, 1e+20]"
131 location=='L5'&pop_name=='VIP'&ei=='2i1' location=='L5'&pop_name=='Sst'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 ['basal'] InhToInh.json 0.0018479999999999998 1.4 "[0.0, 1e+20]"
132 location=='L5'&pop_name=='PV1'&ei=='2i1' location=='L5'&pop_name=='Sst'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 ['basal'] InhToInh.json 0.000792 1.4 "[0.0, 1e+20]"
133 location=='L5'&pop_name=='Scnn1a'&ei=='2e1' location=='L5'&pop_name=='Sst'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 "['basal', 'apical']" InhToExc.json 0.0024 1.4 "[0.0, 1e+20]"
134 location=='L5'&pop_name=='Scnn1a'&ei=='2e1' location=='L5'&pop_name=='VIP'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 "['basal', 'apical']" InhToExc.json 4.7999999999999994e-05 1.4 "[0.0, 1e+20]"
135 location=='L5'&pop_name=='Sst'&ei=='2i1' location=='L5'&pop_name=='VIP'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 ['basal'] InhToInh.json 0.047999999999999994 1.4 "[0.0, 1e+20]"
136 location=='L6'&ei=='2e1' location=='L6'&ei=='2e1' gaussianLL_Inter_Layer exp2syn 5.0 "['basal', 'apical']" ExcToExc.json 0.00035 1.8 "[0.0, 1e+20]"
137 location=='L6'&ei=='2i1'&pop_name=='PV1' location=='L6'&ei=='2e1' gaussianLL_Inter_Layer exp2syn 15.0 "['somatic', 'basal']" ExcToInh.json 0.003 1.4 "[0.0, 1e+20]"
138 location=='L6'&ei=='2i1'&pop_name=='Sst' location=='L6'&ei=='2e1' gaussianLL_Inter_Layer exp2syn 10.0 "['somatic', 'basal']" ExcToInh.json 0.001875 1.7 "[0.0, 1e+20]"
139 location=='L6'&ei=='2i1'&pop_name=='VIP' location=='L6'&ei=='2e1' gaussianLL_Inter_Layer exp2syn 5.0 "['somatic', 'basal']" ExcToInh.json 0.0015 1.7 "[0.0, 1e+20]"
140 location=='L6'&pop_name=='PV1'&ei=='2i1' location=='L6'&pop_name=='PV1'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 "['somatic', 'basal']" InhToInh.json 0.002424 1.8 "[0.0, 1e+20]"
141 location=='L6'&pop_name=='Scnn1a'&ei=='2e1' location=='L6'&pop_name=='PV1'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 "['somatic', 'basal', 'apical']" InhToExc.json 0.0024 1.1 "[0.0, 1e+20]"
142 location=='L6'&pop_name=='VIP'&ei=='2i1' location=='L6'&pop_name=='PV1'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 "['somatic', 'basal']" InhToInh.json 0.0005279999999999999 1.4 "[0.0, 1e+20]"
143 location=='L6'&pop_name=='VIP'&ei=='2i1' location=='L6'&pop_name=='Sst'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 ['basal'] InhToInh.json 0.0018479999999999998 1.7 "[0.0, 1e+20]"
144 location=='L6'&pop_name=='PV1'&ei=='2i1' location=='L6'&pop_name=='Sst'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 ['basal'] InhToInh.json 0.000792 1.7 "[0.0, 1e+20]"
145 location=='L6'&pop_name=='Scnn1a'&ei=='2e1' location=='L6'&pop_name=='Sst'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 "['basal', 'apical']" InhToExc.json 0.0024 1.7 "[0.0, 1e+20]"
146 location=='L6'&pop_name=='Scnn1a'&ei=='2e1' location=='L6'&pop_name=='VIP'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 "['basal', 'apical']" InhToExc.json 4.7999999999999994e-05 1.7 "[0.0, 1e+20]"
147 location=='L6'&pop_name=='Sst'&ei=='2i1' location=='L6'&pop_name=='VIP'&ei=='2i1' gaussianLL_Inter_Layer exp2syn 15.0 ['basal'] InhToInh.json 0.047999999999999994 1.7 "[0.0, 1e+20]"
148 location=='L4'&ei=='2e1' location=='L2'&ei=='2e1' gaussianLL_Laminar exp2syn 5.0 "['basal', 'apical']" ExcToExc.json 0.00035 1.6 "[0.0, 1e+20]"
149 location=='L5'&ei=='2e1' location=='L2'&ei=='2e1' gaussianLL_Laminar exp2syn 5.0 "['basal', 'apical']" ExcToExc.json 0.0007 1.8 "[0.0, 1e+20]"
150 location=='L6'&ei=='2e1' location=='L2'&ei=='2e1' gaussianLL_Laminar exp2syn 5.0 "['basal', 'apical']" ExcToExc.json 0.00035 4.9 "[0.0, 1e+20]"
151 location=='L4'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2e1' gaussianLL_Laminar exp2syn 15.0 "['somatic', 'basal']" ExcToInh.json 0.006 1.2 "[0.0, 1e+20]"
152 location=='L4'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2e1' gaussianLL_Laminar exp2syn 10.0 "['somatic', 'basal']" ExcToInh.json 0.00375 1.5 "[0.0, 1e+20]"
153 location=='L4'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2e1' gaussianLL_Laminar exp2syn 5.0 "['somatic', 'basal']" ExcToInh.json 0.003 1.5 "[0.0, 1e+20]"
154 location=='L5'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2e1' gaussianLL_Laminar exp2syn 15.0 "['somatic', 'basal']" ExcToInh.json 0.003 1.4 "[0.0, 1e+20]"
155 location=='L5'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2e1' gaussianLL_Laminar exp2syn 10.0 "['somatic', 'basal']" ExcToInh.json 0.001875 1.7 "[0.0, 1e+20]"
156 location=='L5'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2e1' gaussianLL_Laminar exp2syn 5.0 "['somatic', 'basal']" ExcToInh.json 0.0015 1.7 "[0.0, 1e+20]"
157 location=='L6'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2e1' gaussianLL_Laminar exp2syn 15.0 "['somatic', 'basal']" ExcToInh.json 0.003 4.5 "[0.0, 1e+20]"
158 location=='L6'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2e1' gaussianLL_Laminar exp2syn 10.0 "['somatic', 'basal']" ExcToInh.json 0.001875 4.8 "[0.0, 1e+20]"
159 location=='L6'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2e1' gaussianLL_Laminar exp2syn 5.0 "['somatic', 'basal']" ExcToInh.json 0.0015 4.8 "[0.0, 1e+20]"
160 location=='L4'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='Sst' gaussianLL_Laminar exp2syn 15.0 ['basal'] InhToInh.json 0.000792 1.5 "[0.0, 1e+20]"
161 location=='L5'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='Sst' gaussianLL_Laminar exp2syn 15.0 ['basal'] InhToInh.json 0.000792 1.7 "[0.0, 1e+20]"
162 location=='L6'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='Sst' gaussianLL_Laminar exp2syn 15.0 ['basal'] InhToInh.json 0.000792 4.8 "[0.0, 1e+20]"
163 location=='L4'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2i1'&pop_name=='Sst' gaussianLL_Laminar exp2syn 15.0 ['basal'] InhToInh.json 0.0018479999999999998 1.5 "[0.0, 1e+20]"
164 location=='L5'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2i1'&pop_name=='Sst' gaussianLL_Laminar exp2syn 15.0 ['basal'] InhToInh.json 0.0018479999999999998 1.7 "[0.0, 1e+20]"
165 location=='L6'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2i1'&pop_name=='Sst' gaussianLL_Laminar exp2syn 15.0 ['basal'] InhToInh.json 0.0018479999999999998 4.8 "[0.0, 1e+20]"
166 location=='L4'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2i1'&pop_name=='PV1' gaussianLL_Laminar exp2syn 15.0 "['somatic', 'basal']" InhToInh.json 0.0005279999999999999 1.2 "[0.0, 1e+20]"
167 location=='L5'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2i1'&pop_name=='PV1' gaussianLL_Laminar exp2syn 15.0 "['somatic', 'basal']" InhToInh.json 0.0005279999999999999 1.4 "[0.0, 1e+20]"
168 location=='L6'&ei=='2i1'&pop_name=='VIP' location=='L2'&ei=='2i1'&pop_name=='PV1' gaussianLL_Laminar exp2syn 15.0 "['somatic', 'basal']" InhToInh.json 0.0005279999999999999 4.5 "[0.0, 1e+20]"
169 location=='L4'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='PV1' gaussianLL_Laminar exp2syn 15.0 "['somatic', 'basal']" InhToInh.json 0.002424 1.6 "[0.0, 1e+20]"
170 location=='L5'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='PV1' gaussianLL_Laminar exp2syn 15.0 "['somatic', 'basal']" InhToInh.json 0.002424 1.8 "[0.0, 1e+20]"
171 location=='L6'&ei=='2i1'&pop_name=='PV1' location=='L2'&ei=='2i1'&pop_name=='PV1' gaussianLL_Laminar exp2syn 15.0 "['somatic', 'basal']" InhToInh.json 0.002424 4.9 "[0.0, 1e+20]"
172 location=='L4'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2i1'&pop_name=='VIP' gaussianLL_Laminar exp2syn 15.0 ['basal'] InhToInh.json 0.047999999999999994 1.5 "[0.0, 1e+20]"
173 location=='L5'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2i1'&pop_name=='VIP' gaussianLL_Laminar exp2syn 15.0 ['basal'] InhToInh.json 0.047999999999999994 1.7 "[0.0, 1e+20]"
174 location=='L6'&ei=='2i1'&pop_name=='Sst' location=='L2'&ei=='2i1'&pop_name=='VIP' gaussianLL_Laminar exp2syn 15.0 ['basal'] InhToInh.json 0.047999999999999994 4.8 "[0.0, 1e+20]"
175 location=='L4'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='Sst' gaussianLL_Laminar exp2syn 15.0 "['basal', 'apical']" InhToExc.json 0.0024 1.5 "[0.0, 1e+20]"
176 location=='L4'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='VIP' gaussianLL_Laminar exp2syn 15.0 "['basal', 'apical']" InhToExc.json 4.7999999999999994e-05 1.5 "[0.0, 1e+20]"
177 location=='L4'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='PV1' gaussianLL_Laminar exp2syn 15.0 "['somatic', 'basal', 'apical']" InhToExc.json 0.0024 0.9 "[0.0, 1e+20]"
178 location=='L5'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='PV1' gaussianLL_Laminar exp2syn 15.0 "['somatic', 'basal', 'apical']" InhToExc.json 0.0048 1.1 "[0.0, 1e+20]"
179 location=='L5'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='Sst' gaussianLL_Laminar exp2syn 15.0 "['basal', 'apical']" InhToExc.json 0.0048 1.7 "[0.0, 1e+20]"
180 location=='L5'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='VIP' gaussianLL_Laminar exp2syn 15.0 "['basal', 'apical']" InhToExc.json 9.599999999999999e-05 1.7 "[0.0, 1e+20]"
181 location=='L6'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='PV1' gaussianLL_Laminar exp2syn 15.0 "['somatic', 'basal', 'apical']" InhToExc.json 0.0024 4.2 "[0.0, 1e+20]"
182 location=='L6'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='Sst' gaussianLL_Laminar exp2syn 15.0 "['basal', 'apical']" InhToExc.json 0.0024 4.8 "[0.0, 1e+20]"
183 location=='L6'&ei=='2e1' location=='L2'&ei=='2i1'&pop_name=='VIP' gaussianLL_Laminar exp2syn 15.0 "['basal', 'apical']" InhToExc.json 4.7999999999999994e-05 4.8 "[0.0, 1e+20]"
184 location=='L2'&ei=='2e1' location=='L4'&ei=='2e1' gaussianLL_Laminar exp2syn 5.0 "['basal', 'apical']" ExcToExc.json 0.0021 2.3 "[0.0, 1e+20]"
185 location=='L5'&ei=='2e1' location=='L4'&ei=='2e1' gaussianLL_Laminar exp2syn 5.0 "['basal', 'apical']" ExcToExc.json 0.00175 1.5 "[0.0, 1e+20]"
186 location=='L6'&ei=='2e1' location=='L4'&ei=='2e1' gaussianLL_Laminar exp2syn 5.0 "['basal', 'apical']" ExcToExc.json 0.00175 1.9 "[0.0, 1e+20]"
187 location=='L2'&ei=='2i1'&pop_name=='PV1' location=='L4'&ei=='2e1' gaussianLL_Laminar exp2syn 15.0 "['somatic', 'basal']" ExcToInh.json 0.003 1.9 "[0.0, 1e+20]"
188 location=='L2'&ei=='2i1'&pop_name=='Sst' location=='L4'&ei=='2e1' gaussianLL_Laminar exp2syn 10.0 "['somatic', 'basal']" ExcToInh.json 0.001875 2.2 "[0.0, 1e+20]"
189 location=='L2'&ei=='2i1'&pop_name=='VIP' location=='L4'&ei=='2e1' gaussianLL_Laminar exp2syn 5.0 "['somatic', 'basal']" ExcToInh.json 0.0015 2.2 "[0.0, 1e+20]"
190 location=='L5'&ei=='2i1'&pop_name=='PV1' location=='L4'&ei=='2e1' gaussianLL_Laminar exp2syn 15.0 "['somatic', 'basal']" ExcToInh.json 0.003 1.1 "[0.0, 1e+20]"
191 location=='L5'&ei=='2i1'&pop_name=='Sst' location=='L4'&ei=='2e1' gaussianLL_Laminar exp2syn 10.0 "['somatic', 'basal']" ExcToInh.json 0.001875 1.4 "[0.0, 1e+20]"
192 location=='L5'&ei=='2i1'&pop_name=='VIP' location=='L4'&ei=='2e1' gaussianLL_Laminar exp2syn 5.0 "['somatic', 'basal']" ExcToInh.json 0.0015 1.4 "[0.0, 1e+20]"
193 location=='L6'&ei=='2i1'&pop_name=='PV1' location=='L4'&ei=='2e1' NULL exp2syn 15.0 "['somatic', 'basal']" ExcToInh.json 0.003 1.5 "[0.0, 1e+20]"
194 location=='L6'&ei=='2i1'&pop_name=='Sst' location=='L4'&ei=='2e1' NULL exp2syn 10.0 "['somatic', 'basal']" ExcToInh.json 0.001875 1.8 "[0.0, 1e+20]"
195 location=='L6'&ei=='2i1'&pop_name=='VIP' location=='L4'&ei=='2e1' NULL exp2syn 5.0 "['somatic', 'basal']" ExcToInh.json 0.0015 1.8 "[0.0, 1e+20]"
196 location=='L2'&ei=='2i1'&pop_name=='VIP' location=='L4'&ei=='2i1'&pop_name=='Sst' gaussianLL_Laminar exp2syn 15.0 ['basal'] InhToInh.json 0.0018479999999999998 2.2 "[0.0, 1e+20]"
197 location=='L5'&ei=='2i1'&pop_name=='VIP' location=='L4'&ei=='2i1'&pop_name=='Sst' gaussianLL_Laminar exp2syn 15.0 ['basal'] InhToInh.json 0.0018479999999999998 1.4 "[0.0, 1e+20]"
198 location=='L6'&ei=='2i1'&pop_name=='VIP' location=='L4'&ei=='2i1'&pop_name=='Sst' gaussianLL_Laminar exp2syn 15.0 ['basal'] InhToInh.json 0.0018479999999999998 1.8 "[0.0, 1e+20]"
199 location=='L2'&ei=='2i1'&pop_name=='PV1' location=='L4'&ei=='2i1'&pop_name=='Sst' gaussianLL_Laminar exp2syn 15.0 ['basal'] InhToInh.json 0.000792 2.2 "[0.0, 1e+20]"
200 location=='L5'&ei=='2i1'&pop_name=='PV1' location=='L4'&ei=='2i1'&pop_name=='Sst' gaussianLL_Laminar exp2syn 15.0 ['basal'] InhToInh.json 0.000792 1.4 "[0.0, 1e+20]"
201 location=='L6'&ei=='2i1'&pop_name=='PV1' location=='L4'&ei=='2i1'&pop_name=='Sst' gaussianLL_Laminar exp2syn 15.0 ['basal'] InhToInh.json 0.000792 1.8 "[0.0, 1e+20]"
202 location=='L2'&ei=='2i1'&pop_name=='VIP' location=='L4'&ei=='2i1'&pop_name=='PV1' gaussianLL_Laminar exp2syn 15.0 "['somatic', 'basal']" InhToInh.json 0.0005279999999999999 2.6 "[0.0, 1e+20]"
203 location=='L5'&ei=='2i1'&pop_name=='VIP' location=='L4'&ei=='2i1'&pop_name=='PV1' gaussianLL_Laminar exp2syn 15.0 "['somatic', 'basal']" InhToInh.json 0.0005279999999999999 1.1 "[0.0, 1e+20]"
204 location=='L6'&ei=='2i1'&pop_name=='VIP' location=='L4'&ei=='2i1'&pop_name=='PV1' gaussianLL_Laminar exp2syn 15.0 "['somatic', 'basal']" InhToInh.json 0.0005279999999999999 1.5 "[0.0, 1e+20]"
205 location=='L2'&ei=='2i1'&pop_name=='Sst' location=='L4'&ei=='2i1'&pop_name=='VIP' gaussianLL_Laminar exp2syn 15.0 ['basal'] InhToInh.json 0.047999999999999994 2.2 "[0.0, 1e+20]"
206 location=='L5'&ei=='2i1'&pop_name=='Sst' location=='L4'&ei=='2i1'&pop_name=='VIP' gaussianLL_Laminar exp2syn 15.0 ['basal'] InhToInh.json 0.047999999999999994 1.4 "[0.0, 1e+20]"
207 location=='L6'&ei=='2i1'&pop_name=='Sst' location=='L4'&ei=='2i1'&pop_name=='VIP' gaussianLL_Laminar exp2syn 15.0 ['basal'] InhToInh.json 0.047999999999999994 1.8 "[0.0, 1e+20]"
208 location=='L2'&ei=='2i1'&pop_name=='PV1' location=='L4'&ei=='2i1'&pop_name=='PV1' gaussianLL_Laminar exp2syn 15.0 "['somatic', 'basal']" InhToInh.json 0.002424 2.3 "[0.0, 1e+20]"
209 location=='L5'&ei=='2i1'&pop_name=='PV1' location=='L4'&ei=='2i1'&pop_name=='PV1' gaussianLL_Laminar exp2syn 15.0 "['somatic', 'basal']" InhToInh.json 0.002424 1.5 "[0.0, 1e+20]"
210 location=='L6'&ei=='2i1'&pop_name=='PV1' location=='L4'&ei=='2i1'&pop_name=='PV1' gaussianLL_Laminar exp2syn 15.0 "['somatic', 'basal']" InhToInh.json 0.002424 1.9 "[0.0, 1e+20]"
211 location=='L2'&ei=='2e1' location=='L4'&ei=='2i1'&pop_name=='PV1' gaussianLL_Laminar exp2syn 15.0 "['somatic', 'basal', 'apical']" InhToExc.json 0.0048 1.6 "[0.0, 1e+20]"
212 location=='L2'&ei=='2e1' location=='L4'&ei=='2i1'&pop_name=='Sst' gaussianLL_Laminar exp2syn 15.0 "['basal', 'apical']" InhToExc.json 0.0048 2.2 "[0.0, 1e+20]"
213 location=='L2'&ei=='2e1' location=='L4'&ei=='2i1'&pop_name=='VIP' gaussianLL_Laminar exp2syn 15.0 "['basal', 'apical']" InhToExc.json 9.599999999999999e-05 2.2 "[0.0, 1e+20]"
214 location=='L5'&ei=='2e1' location=='L4'&ei=='2i1'&pop_name=='PV1' gaussianLL_Laminar exp2syn 15.0 "['somatic', 'basal', 'apical']" InhToExc.json 0.0024 0.8 "[0.0, 1e+20]"
215 location=='L5'&ei=='2e1' location=='L4'&ei=='2i1'&pop_name=='Sst' gaussianLL_Laminar exp2syn 15.0 "['basal', 'apical']" InhToExc.json 0.0024 1.4 "[0.0, 1e+20]"
216 location=='L5'&ei=='2e1' location=='L4'&ei=='2i1'&pop_name=='VIP' gaussianLL_Laminar exp2syn 15.0 "['basal', 'apical']" InhToExc.json 4.7999999999999994e-05 1.4 "[0.0, 1e+20]"
217 location=='L6'&ei=='2e1' location=='L4'&ei=='2i1'&pop_name=='PV1' gaussianLL_Laminar exp2syn 15.0 "['somatic', 'basal', 'apical']" InhToExc.json 0.0024 1.2 "[0.0, 1e+20]"
218 location=='L6'&ei=='2e1' location=='L4'&ei=='2i1'&pop_name=='Sst' gaussianLL_Laminar exp2syn 15.0 "['basal', 'apical']" InhToExc.json 0.0024 1.8 "[0.0, 1e+20]"
219 location=='L6'&ei=='2e1' location=='L4'&ei=='2i1'&pop_name=='VIP' gaussianLL_Laminar exp2syn 15.0 "['basal', 'apical']" InhToExc.json 4.7999999999999994e-05 1.8 "[0.0, 1e+20]"
220 location=='L2'&ei=='2e1' location=='L5'&ei=='2e1' gaussianLL_Laminar exp2syn 5.0 "['basal', 'apical']" ExcToExc.json 0.00035 3.0 "[0.0, 1e+20]"
221 location=='L4'&ei=='2e1' location=='L5'&ei=='2e1' gaussianLL_Laminar exp2syn 5.0 "['basal', 'apical']" ExcToExc.json 0.00035 2.5 "[0.0, 1e+20]"
